,Unnamed: 0,accNowDelinq,accOpenPast24Mths,acceptD,addrState,addrZip,allUtil,annualInc,annualIncJoint,applicationType,avgCurBal,bcOpenToBuy,bcUtil,chargeoffWithin12Mths,collections12MthsExMed,creditPullD,delinq2Yrs,delinqAmnt,desc,disbursementMethod,dti,dtiJoint,earliestCrLine,empLength,empTitle,expD,expDefaultRate,ficoRangeHigh,ficoRangeLow,fundedAmount,grade,homeOwnership,housingPayment,iLUtil,id,ilsExpD,initialListStatus,inqFi,inqLast12m,inqLast6Mths,installment,intRate,investorCount,isIncV,isIncVJoint,listD,loanAmount,maxBalBc,memberId,moSinOldIlAcct,moSinOldRevTlOp,moSinRcntRevTlOp,moSinRcntTl,mortAcc,mtgPayment,mthsSinceLastDelinq,mthsSinceLastMajorDerog,mthsSinceLastRecord,mthsSinceRcntIl,mthsSinceRecentBc,mthsSinceRecentBcDlq,mthsSinceRecentInq,mthsSinceRecentRevolDelinq,numAcctsEver120Ppd,numActvBcTl,numActvRevTl,numBcSats,numBcTl,numIlTl,numOpRevTl,numRevAccts,numRevTlBalGt0,numSats,numTl120dpd2m,numTl30dpd,numTl90gDpd24m,numTlOpPast12m,openAcc,openAcc6m,openActIl,openIl12m,openIl24m,openRv12m,openRv24m,pctTlNvrDlq,percentBcGt75,pubRec,pubRecBankruptcies,purpose,reviewStatus,reviewStatusD,revolBal,revolBalJoint,revolUtil,secAppChargeoffWithin12Mths,secAppCollections12MthsExMed,secAppEarliestCrLine,secAppFicoRangeHigh,secAppFicoRangeLow,secAppInqLast6Mths,secAppMortAcc,secAppMthsSinceLastMajorDerog,secAppNumRevAccts,secAppOpenAcc,secAppOpenActIl,secAppRevolUtil,serviceFeeRate,subGrade,taxLiens,term,totCollAmt,totCurBal,totHiCredLim,totalAcc,totalBalExMort,totalBalIl,totalBcLimit,totalCuTl,totalIlHighCreditLimit,totalRevHiLim
0,0,0,18,2018-04-13T09:41:01.000-07:00,TX,750xx,25.9,79000.0,,INDIVIDUAL,674,19693.0,12.9,0,0,2018-04-13T09:33:19.000-07:00,1,0.0,,CASH,18.35,,1976-07-12T17:00:00.000-07:00,120.0,Collector,2018-05-28T09:41:02.000-07:00,6.8,669,665,5225.0,C,OWN,,39.9,131525815,2018-05-01T10:00:00.000-07:00,F,2,5,0,237.82,13.58,,NOT_VERIFIED,,2018-05-01T10:00:00.000-07:00,7000.0,1043.0,147475995,328.0,501,1,1,1,0.0,20.0,20.0,,36.0,7.0,58.0,3.0,20.0,6,7,15,9,16,12,30,51,15,32,0.0,0,1,6,32,2,2,0,0,6,18,87,0.0,0,0,debt_consolidation,APPROVED,2018-05-01T08:14:22.000-07:00,7669.0,,16.8,,,,,,,,,,,,,1.13,C2,0,36,3245,19548,75475,64,19548,11879.0,22600,6,29775,45700
1,1,0,2,2018-04-21T10:45:59.000-07:00,AR,720xx,11.1,62000.0,,INDIVIDUAL,7670,13538.0,1.2,0,0,2018-04-21T10:41:29.000-07:00,0,0.0,,CASH,12.85,,2009-06-20T17:00:00.000-07:00,108.0,Mental Health Technician,2018-05-31T10:00:00.000-07:00,1.86,819,815,3300.0,A,RENT,1300.0,19.2,132031020,2018-05-01T10:00:00.000-07:00,F,0,0,0,140.94,7.96,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,4500.0,162.0,148190637,103.0,106,7,7,0,0.0,,,,22.0,7.0,,20.0,,0,1,1,3,5,10,4,7,1,7,0.0,0,0,1,7,0,3,0,1,1,1,100,0.0,0,0,medical,APPROVED,2018-05-01T09:30:28.000-07:00,162.0,,1.2,,,,,,,,,,,,,0.83,A5,0,36,0,46020,81949,17,46020,45858.0,13700,4,68249,13700
2,2,0,0,2018-04-18T19:10:55.000-07:00,WA,985xx,66.6,18000.0,,INDIVIDUAL,1015,463.0,88.4,0,0,2018-04-18T19:06:47.000-07:00,0,0.0,,CASH,10.8,,2006-11-18T16:00:00.000-08:00,,,2018-05-31T10:00:00.000-07:00,3.8,714,710,1250.0,B,OWN,,,131920399,2018-05-01T10:00:00.000-07:00,F,0,0,0,194.77,10.41,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,6000.0,3278.0,147888275,,137,102,102,0,0.0,,,,,102.0,,,,0,2,3,2,2,0,4,4,3,4,0.0,0,0,0,4,0,0,0,0,0,0,100,50.0,0,0,debt_consolidation,APPROVED,2018-05-01T08:48:53.000-07:00,4061.0,,66.6,,,,,,,,,,,,,0.96,B3,0,36,0,4061,6100,4,4061,0.0,4000,0,0,6100
3,3,0,1,2018-04-27T07:56:14.000-07:00,ND,585xx,89.9,50000.0,,INDIVIDUAL,4851,55.0,98.6,0,0,2018-04-27T07:51:28.000-07:00,0,0.0,,CASH,12.94,,2005-12-26T16:00:00.000-08:00,24.0,Operator,2018-05-31T10:00:00.000-07:00,6.8,674,670,2125.0,C,MORTGAGE,440.0,94.8,132365612,2018-05-01T10:00:00.000-07:00,F,3,5,0,85.53,14.07,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,2500.0,2561.0,148756776,10.0,148,67,10,1,0.0,33.0,,,10.0,67.0,33.0,10.0,33.0,0,2,3,2,3,1,4,8,3,5,0.0,0,0,1,5,0,1,1,1,0,0,80,100.0,0,0,other,APPROVED,2018-05-01T08:36:54.000-07:00,4278.0,,72.5,,,,,,,,,,,,,1.13,C3,0,36,0,24256,26972,10,24256,19978.0,3900,0,21072,5900
4,4,0,5,2018-04-25T11:31:15.000-07:00,CA,910xx,90.0,34000.0,106000.0,JOINT,5065,4944.0,56.6,0,0,2018-04-23T16:59:31.000-07:00,0,0.0,,CASH,8.82,6.96,2012-08-22T17:00:00.000-07:00,0.0,Customer Relations,2018-05-31T10:00:00.000-07:00,14.72,669,665,3675.0,E,RENT,2450.0,106.4,131846572,2018-05-01T10:00:00.000-07:00,F,1,5,0,193.29,22.9,,VERIFIED,VERIFIED,2018-05-01T10:00:00.000-07:00,5000.0,2008.0,148301288,68.0,65,0,0,0,0.0,,,,68.0,0.0,,0.0,,0,4,5,6,6,2,8,9,5,10,0.0,0,0,3,10,2,2,0,0,3,5,100,33.3,0,0,credit_card,APPROVED,2018-05-01T06:43:13.000-07:00,7566.0,10796.0,47.9,0.0,0.0,2011-11-17T16:00:00.000-08:00,604.0,600.0,2.0,0.0,,9.0,14.0,7.0,51.2,1.58,E1,0,36,0,50647,56300,11,50647,43081.0,11400,0,40500,15800
5,5,0,1,2018-04-23T13:53:41.000-07:00,GA,305xx,0.0,24440.0,,INDIVIDUAL,0,7500.0,0.0,0,0,2018-04-23T13:43:09.000-07:00,0,0.0,,CASH,0.0,,2001-06-22T17:00:00.000-07:00,0.0,Debone,2018-05-31T10:00:00.000-07:00,3.8,734,730,2350.0,B,RENT,375.0,,132141170,2018-05-01T10:00:00.000-07:00,F,0,1,1,211.0,10.41,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,6500.0,0.0,148291340,,202,2,2,0,0.0,,,,,202.0,,2.0,,0,0,0,1,1,0,2,2,0,2,0.0,0,0,1,2,1,0,0,0,1,1,100,0.0,0,0,other,APPROVED,2018-05-01T08:49:05.000-07:00,0.0,,0.0,,,,,,,,,,,,,0.96,B3,0,36,0,0,13500,2,0,0.0,7500,0,0,13500
6,6,0,15,2018-04-23T11:07:26.000-07:00,VA,236xx,78.2,45000.0,165000.0,JOINT,14623,8748.0,67.8,0,1,2018-04-23T10:56:07.000-07:00,1,0.0,,CASH,70.83,25.37,1993-05-22T17:00:00.000-07:00,72.0,Continuing Education Manager,2018-05-31T10:00:00.000-07:00,6.8,669,665,3125.0,C,MORTGAGE,2347.0,84.8,132120650,2018-05-01T10:00:00.000-07:00,F,0,2,0,527.43,16.01,,SOURCE_VERIFIED,SOURCE_VERIFIED,2018-05-01T10:00:00.000-07:00,15000.0,6278.0,148260676,149.0,299,5,5,2,2359.5,7.0,71.0,,7.0,5.0,7.0,7.0,7.0,2,8,13,10,14,21,17,25,13,30,0.0,0,0,6,30,2,12,2,6,4,8,95,70.0,0,0,debt_consolidation,APPROVED,2018-05-01T08:51:08.000-07:00,29292.0,67717.0,59.7,0.0,0.0,2003-05-22T17:00:00.000-07:00,674.0,670.0,0.0,2.0,,20.0,20.0,6.0,62.8,1.13,C5,0,36,0,438694,494777,48,146616,117324.0,27200,7,138314,49100
7,7,0,6,2018-04-25T05:12:10.000-07:00,CO,810xx,56.2,60000.0,,INDIVIDUAL,4100,7424.0,32.5,0,0,2018-04-25T05:05:44.000-07:00,0,0.0,,CASH,14.84,,1999-04-24T17:00:00.000-07:00,84.0,Management,2018-05-31T10:00:00.000-07:00,1.86,694,690,3350.0,A,RENT,1050.0,85.8,132247253,2018-05-01T10:00:00.000-07:00,F,1,2,1,307.45,6.71,,VERIFIED,,2018-05-01T10:00:00.000-07:00,10000.0,3200.0,148449107,112.0,228,7,4,1,0.0,26.0,41.0,,4.0,7.0,41.0,4.0,41.0,4,2,3,2,7,5,5,13,3,7,0.0,0,0,5,7,1,2,2,2,3,4,73,0.0,0,0,credit_card,APPROVED,2018-05-01T07:28:33.000-07:00,4276.0,,18.9,,,,,,,,,,,,,0.83,A3,0,36,0,28703,51076,19,28703,24427.0,11000,1,28476,22600
8,8,0,8,2018-04-24T11:03:15.000-07:00,CA,917xx,52.9,40000.0,,INDIVIDUAL,2277,4969.0,64.5,0,0,2018-04-18T14:00:16.000-07:00,0,0.0,,CASH,34.5,,2012-11-17T16:00:00.000-08:00,60.0,Sales,2018-05-31T10:00:00.000-07:00,6.8,704,700,3275.0,C,RENT,800.0,61.1,131865401,2018-05-01T10:00:00.000-07:00,F,0,1,0,562.6,16.01,,VERIFIED,,2018-05-01T10:00:00.000-07:00,16000.0,4612.0,147772160,47.0,65,7,7,0,0.0,,,,13.0,7.0,,8.0,,0,5,7,5,5,3,11,11,7,13,0.0,0,0,3,13,0,2,0,2,3,6,100,20.0,0,0,debt_consolidation,APPROVED,2018-05-01T08:55:55.000-07:00,11648.0,,43.8,,,,,,,,,,,,,1.13,C5,0,36,0,29596,55969,14,29596,17948.0,14000,0,29369,26600
9,9,0,16,2018-04-25T14:40:10.000-07:00,MD,211xx,72.6,105000.0,250000.0,JOINT,24355,27520.0,2.4,0,0,2018-04-25T14:35:12.000-07:00,0,0.0,,CASH,36.18,25.91,1994-05-24T17:00:00.000-07:00,120.0,Branch Manager,2018-05-31T10:00:00.000-07:00,1.86,729,725,4950.0,A,MORTGAGE,0.0,83.0,132269767,2018-05-01T10:00:00.000-07:00,F,2,5,2,465.5,7.34,,SOURCE_VERIFIED,SOURCE_VERIFIED,2018-05-01T10:00:00.000-07:00,15000.0,604.0,148536977,142.0,173,3,2,2,1966.67,,,,2.0,6.0,,3.0,,0,2,6,5,14,22,10,26,6,24,0.0,0,0,7,24,4,11,5,8,2,7,100,0.0,0,0,credit_card,APPROVED,2018-05-01T08:22:46.000-07:00,32250.0,94601.0,49.2,0.0,0.0,2002-08-24T17:00:00.000-07:00,679.0,675.0,5.0,3.0,68.0,51.0,24.0,7.0,39.3,0.83,A4,0,36,0,511461,578961,52,154246,121996.0,28200,6,146938,65600
